district,week_id,start_date,end_date,Duration,T2M_max,T2M_min,T2M_avg,T2M_MAX_max,T2M_MAX_min,T2M_MAX_avg,T2M_MIN_max,T2M_MIN_min,T2M_MIN_avg,RH2M_max,RH2M_min,RH2M_avg,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_avg,month,monsoon_IM2,monsoon_NE,monsoon_SW,week_number,sin_week,cos_week,target,PRECTOTCORR_avg_lag_1,T2M_avg_lag_1,RH2M_avg_lag_1,PRECTOTCORR_avg_lag_2,T2M_avg_lag_2,RH2M_avg_lag_2,PRECTOTCORR_avg_lag_3,T2M_avg_lag_3,RH2M_avg_lag_3,PRECTOTCORR_avg_lag_4,T2M_avg_lag_4,RH2M_avg_lag_4,PRECTOTCORR_avg_lag_5,T2M_avg_lag_5,RH2M_avg_lag_5,PRECTOTCORR_avg_lag_6,T2M_avg_lag_6,RH2M_avg_lag_6
Kandy,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,20.05,20.05,20.05,20.05,20.05,20.05,20.05,20.05,20.05,98,98,98.0,0.0,0.0,0.0,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kegalle,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,98,98,98.0,0.0,0.0,0.0,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kilinochchi,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,24.21,24.21,24.21,24.21,24.21,24.21,24.21,24.21,24.21,94,94,94.0,0.82,0.82,0.82,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurunegala,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,98,98,98.0,0.0,0.0,0.0,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mannar,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,25.38,25.38,25.38,25.38,25.38,25.38,25.38,25.38,25.38,88,88,88.0,0.32,0.32,0.32,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matale,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.34,99,99,99.0,0.0,0.0,0.0,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matara,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,80,80,80.0,0.0,0.0,0.0,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monaragala,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,22.63,22.63,22.63,22.63,22.63,22.63,22.63,22.63,22.63,94,94,94.0,0.0,0.0,0.0,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mullaitivu,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,26.71,26.71,26.71,26.71,26.71,26.71,26.71,26.71,26.71,83,83,83.0,0.3,0.3,0.3,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuwara Eliya,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,12.59,96,96,96.0,0.68,0.68,0.68,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polonnaruwa,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,22.64,22.64,22.64,22.64,22.64,22.64,22.64,22.64,22.64,99,99,99.0,0.0,0.0,0.0,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puttalam,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56,92,92,92.0,0.0,0.0,0.0,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ratnapura,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,97,97,97.0,0.0,0.0,0.0,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trincomalee,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,85,85,85.0,2.86,2.86,2.86,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vavuniya,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,100,100,100.0,0.18,0.18,0.18,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
